p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
1	2.88522449407933e-69	1.22061856278255	0.883	0.277	3.97381969569546e-65	0	IL7R
2	2.29777539486601e-61	0.991422309371386	0.924	0.308	1.58236302567448e-57	0	IL32
3	2.68830865757315e-59	0.954220841246038	0.915	0.36	1.23420250469183e-55	0	TRAC
4	2.84756464114812e-52	0.809040020749459	0.897	0.312	9.80487695063325e-49	0	CD3D
5	6.76464467538714e-51	0.771402014958864	0.753	0.242	1.86338902228214e-47	0	CD2
6	1.6822536055817e-50	0.780236340600745	0.928	0.351	3.8616131516128e-47	0	CD3E
7	3.92827512446582e-50	0.736686432637763	0.852	0.298	7.72916189846682e-47	0	BCL11B
8	5.5066989582402e-49	0.811169559645529	0.924	0.693	9.48047059398029e-46	0	LDHB
9	1.03011621636746e-45	0.691626672699258	0.807	0.272	1.57642118311434e-42	0	CD3G
10	5.85873367356084e-45	-2.58839544964571	0.112	0.63	8.06923388859534e-42	0	HLA-DRA
11	8.40542145855573e-44	0.708249681524277	0.816	0.315	1.05243517953353e-40	0	TCF7
12	5.87449942604227e-43	-1.49532699110636	0.942	0.981	6.74245671624002e-40	0	FTL
13	2.76980527434378e-40	-1.98544868243298	0.17	0.64	2.81808639399989e-37	0	HLA-DPA1
14	2.86453274638775e-40	-1.81353766869937	0.103	0.605	2.81808639399989e-37	0	HLA-DRB1
15	7.9950916028811e-40	0.483387712978281	0.417	0.075	7.34109310976543e-37	0	INPP4B
16	1.01626533955675e-39	-1.28184154106142	0.049	0.557	8.74813907607194e-37	0	HLA-DRB6
17	4.12173189362378e-38	-1.00849812022671	0.022	0.517	3.33933019828708e-35	0	LYN
18	2.03266124755923e-37	-1.8972298375362	0.018	0.505	1.5553246312574e-34	0	TYROBP
19	3.12703166897251e-37	0.510020417216088	0.413	0.08	2.26676879877676e-34	0	PASK
20	7.97305296358383e-37	0.494404551285581	0.462	0.1	5.49064292337201e-34	0	MAL
21	1.1044021540381e-36	0.825894339292342	0.915	0.568	7.02014501733456e-34	0	LTB
22	1.16477118755809e-36	-0.918182653010945	0.027	0.518	7.02014501733456e-34	0	MARCHF1
23	1.17231783488488e-36	-1.05332929612766	0.031	0.521	7.02014501733456e-34	0	FGR
24	2.61670493446513e-36	0.605581539867762	0.547	0.15	1.50166154426618e-33	0	AQP3
25	3.54346997772356e-35	-0.960930789131515	0.022	0.488	1.95216848012746e-32	0	MEF2C
26	5.05946544420547e-35	0.912255711168812	0.632	0.222	2.68015452165546e-32	0	TRBC1
27	7.85391717442119e-35	-0.814118562036616	0.081	0.567	4.00637041641863e-32	0	PLEK
28	5.43036768789873e-34	-1.99122616173219	0.722	0.837	2.67115907733676e-31	0	CD74
